,text,topic_label,sentiment_label,confidence,include,notes
730,🤣🤣🤣🤣🤣🤣🤣🤣 a police mwati atanipo pa filling?? 🤣,economy,neutral,high,yes,
731,Nanga musaka umo mesa chigubu icho sizingatheke zimenezi,economy,negative,medium,yes,
732,Kuwonjezera chinyengo🤣🤣🤣🤣🤣,economy,negative,high,yes,
733,Zinthu zakut padusa mtonyo musamadalire police 😂😂 😂,economy,neutral,medium,yes,
734,Police nde mwini chinyengocho,economy,negative,low,no,
735,Kodi za ma cctv camera zija zinatha bwanji,economy,neutral,medium,yes,
736,Bola tikudya nsima anthu sangamalimbirane mafuta asanakhute ayi amenewo anavotela nsima kut azikagona bwino pamizele yamafuta atakhuta,economy,neutral,medium,yes,
738,Will this help us to secure more fuel,economy,neutral,medium,yes,
739,Kodi mwati nyekhwe 🤣🤣😊. Boma lazisiru,economy,negative,low,no,
741,🤣🤣 police ND anthuso tu,economy,negative,medium,yes,
742,"Wapolice ndimunthuso, kodi mukuona ngati anyamata azigubu sakumana ndi apolisi mnjiramu??? Aikeni muchita bwino nawoso alemeleko koma sikuti nzeru imeneyo ndiyogwira",economy,negative,high,yes,
743,😂 😂 Boma lagwa ili,economy,negative,low,no,
744,Chinyengo chimayambila Ku police konko Kodi zakuti anthu anatopa samawopaso mwaiwala🤣🤣🤣🤣🤣,economy,negative,medium,yes,
745,😀😀😀😀 boma ilooo,economy,negative,low,no,
746,"Apolisi achepa nayo iyiyi. Mukanatulusa anyamata akuwaya aontheleko dzuwa.
Komanso aziwaunika ndani ngati sakuchita chinyengo?",economy,negative,medium,yes,
747,Koma wapolice mumamudziwa inu😜😂😂😂 worse than before,economy,negative,medium,yes,
748,Sizachilendo nzomwenso zinkachita zakazapitazi,economy,negative,low,no,
749,Aaaaaa police basi busy zimenezo? U guy can do better than that.. Find the root of thee problem,economy,neutral,medium,yes,
750,😂😂😂zibwana. Zoti anthu amakatenga galimoto nkuka drainer mmadziwa?,economy,negative,medium,yes,
751,Kodi apolisi akhoza kuthandizira kuti pasakhale chinyengo?,economy,neutral,high,yes,
752,Kuziyika Nyerere pa suga,economy,negative,low,no,
753,😂😂😂😂😂,economy,neutral,medium,yes,
754,,economy,neutral,medium,yes,
755,😂,economy,neutral,medium,yes,
756,🤣🤣🤣🤣,economy,neutral,medium,yes,
757,0/10,economy,negative,low,no,
758,👏🏾👏🏾👏🏾👏🏾👏🏾,economy,neutral,medium,yes,
759,😂😂😂😂,economy,neutral,medium,yes,
760,,economy,neutral,high,,
762,😂😂😂😂😂,economy,neutral,medium,yes,
763,,economy,,,,
764,🤣🤣🤣,economy,neutral,medium,yes,
765,"Ufa ukakhala kuti ukuvuta mnyumba bambo kuchuluka zochita 
1 . Amatha kupondamo phazi kuti ukatapidwamo adziwe
2. Amati anthu azidya kamodzi patsiku kuti ufa utupe
3. Mmalo Modya mitanda iwiri aliyense amadya umodzi 
4. Mzimayi saloledwa kulawa yakunthiko kuwopa kuchepetsamo msima 
Umphawi siwabwino nditchimo , boma ingotipezerani mafuta okwanira finish",economy,neutral,high,yes,
766,🤣🤣🤣🤣,economy,neutral,medium,yes,
767,🤣🤣🤣,economy,neutral,medium,yes,
768,https://youtu.be/qtoQ83ci56k?si=id_VcDpkBrFYaAY-,economy,negative,low,no,
769,🤣🤣🤣🤣🤣😅😅😅🇲🇼🇲🇼🇲🇼🇲🇼🎉,economy,neutral,medium,yes,
770,https://youtu.be/bWMEYmU20jU?si=Wkzujelg6wAO_Tgl,economy,negative,high,no,
771,Make sure they don't get live bullets with them,economy,negative,low,no,
772,👀,economy,neutral,medium,yes,
773,,economy,,,,
774,Which police?? 🙄🙄🙄🤔🤔,economy,neutral,high,yes,
775,🤣🤣🤣,economy,negative,low,no,
776,Other duties assigned Mesa😂😂,economy,neutral,medium,no,
777,Just use the men in Green (camouflage) 😂 😂,economy,negative,high,no,
778,the solution is to make fuel available basi.......apolisi a chani,economy,negative,high,yes,
779,The police will be the one and are the ones palibe chositha,economy,negative,medium,yes,
780,Some have maize mills and there are some who's vehicles have ran dry on the road. How will they access the commodity? You also send thieves to guard the process eish,economy,negative,high,yes,
781,🤣🤣🤣 that means we are going to use police officers in our tank's? Instead of fuels🤣🤣🤣🤣,economy,negative,high,yes,
782,Mhuuuu bola barracks,economy,negative,low,no,
783,Police officers? 🤣🤣🤣,economy,negative,low,no,
784,Policemen kkkk,economy,negative,medium,yes,
785,Kkkkkkk money talks even men in uniform accept it,economy,negative,medium,yes,
786,Wa police nde mbavayo ka🤣🤣🤣🤣🤣,economy,negative,low,no,
787,Just bring enough fuel abeg😂🙌,economy,neutral,high,yes,
788,"DPP once saud, MCP just supply enough fuel anthu asiya okha kugura mu zigubu
Now its DPP turn 
Tiika a police muma Filling Station azilanda zigubu..... 
Ndale ndimasewera",economy,negative,medium,yes,
789,Pa bill ya Mera or who??,economy,neutral,medium,yes,
790,Only in Mbamu republic under balaba,economy,negative,low,no,
791,"We've been there, done that but it always ended in tears 🤣🤣",economy,neutral,medium,yes,
792,Police officers scored 80% in corruption nde zisintha chani😭,economy,negative,low,no,
793,"The problem of choosing the person you love, instead of the one who loves you.",economy,negative,high,yes,
794,Just make sure fuel is readily available,economy,neutral,medium,yes,
795,Now you have just added new recipients of bribes,economy,negative,low,no,
796,So you think police officers are holy in the face of dosh?,economy,negative,low,no,
797,Wa police or 5k chinyengo chimatheka ....a macra akangoika ma camera and the camera should be controlled by iwowo otherwise we not safe,economy,negative,medium,yes,
798,Police nde corruption yo !,economy,negative,low,no,
799,They will still use the same police officers to get access 🤣🤣,economy,negative,high,yes,
800,"Come see zinachitika dzana pa Dowa boma 😅 Eeeeeh Mmmh eeh eeh eeh. Someone was third in line, but spent an hour osasuntha, osathira.

Of course they were there too.",economy,negative,medium,no,
801,🤣😂 what about those who want fuel for their boats and generators poor thinking,economy,negative,low,no,
802,Mpakana apolice,economy,negative,low,no,
803,Akutithandizanso ndiomwewa ama jericans omwewa. Fuel wambiri tagwiritsa ntchito munyengo imeneyi ndiomwewa amamuba muma filling station aku Mozambique. Apo bii tikanayendapo wapansi apa,economy,negative,low,no,
804,Treating the symptoms instead of the cause! We are far behind,economy,positive,high,yes,
805,A police anjoye inde salary ndiyochepa,economy,neutral,medium,yes,
806,🤣🤣🤣🤣🤣💪💪police?,economy,negative,low,no,
807,Crazy minds,economy,negative,low,no,
808,"Bweretsani ma systems ena amene inu mukhoza kimadziwa or muli kutari kuti filling station yakuti pakuchitika Zakuti,osati apolisi azikagwira ntchito imeneyo ,kutandara pa filling station ndi njara 😂",economy,neutral,medium,yes,
809,Mafuta osewa.apolice alibe ntchito pamenepo,economy,negative,medium,yes,
810,"Today is Monday, the promised one",economy,neutral,medium,yes,
812,Palibepo za order😅,economy,negative,low,no,
813,"😂 😂 😂 Km a police mmawadziwa? Mpaka anthu azipereka diza tu 🤣zomwezi,, zakukanikan",economy,negative,low,no,
814,"Bwa? Za lero zija zakanika? Paja munati pofika lero ikhala mbiri ya kaletu 
Zatani nanga?",economy,negative,low,no,
815,That will never help !,economy,neutral,medium,yes,
816,Indeka a police wo ndiomwe amafunika kumene we pay them,economy,positive,high,yes,
817,Boma labalalika ili. Koma mwachangu zedi. Moyo uja nde tikulukutikadi,economy,negative,low,no,
818,Ma cadet anzanga zilipati😅,economy,negative,medium,yes,
819,"Is not make sense 
Is failed state",economy,negative,low,no,
820,Lero mesa ndi Monday? 🤣🤣🤣,economy,neutral,medium,yes,
821,🤣Zilikotu,economy,negative,low,no,
822,And police officers do nothing but perpetuating vawulence,economy,negative,low,no,
823,😂 😂 😂 Ikaponi MDF,economy,negative,low,no,
824,Hahaha a police ndi mbamvaaaa zen zen asaa!!!😡😡😡,economy,negative,low,no,
825,Wa police akufuna kut adye monona agule katundu ananale town 🤣🤣🤣🤣 koma Malawi wathu uyu kkkkk,economy,negative,medium,yes,
826,Ah wa police nde wa corruption yo. Palibe solution pamenepo,economy,negative,low,no,
827,We got this volume 2,economy,neutral,high,yes,
828,Osatipweteketsera a police tu apa😂😂,economy,negative,low,no,
829,Police ndi amene akufuna ndalama kalewo... Apo you increase expenses for the buyers and the will kill road users with high prices,economy,negative,low,yes,
830,One way of promoting corruption.,economy,negative,low,yes,
831,Koma yar zafikapo 😅😂😂,economy,neutral,low,no,
