id,text,topic-label,sentiment-label,confidence,include,notes
452,Apa nde mwatitola..,Economy,Negative,High,Yes,
453,Next time izakhala 100 ndi 200😂,Economy,Negative,High,Yes,
454,Nde azilandira ndani zanuzo ngati timakana k20 ya paper,Economy,Negative,High,Yes,
455,20 kwacha ndiyachaninso abale chigege sikukwana mkomwe.,Economy,Negative,High,Yes,
456,Game over ndalama yatha basi,Economy,Negative,High,Yes,
457,"+265 0985367810
        Mpampo kasache
WhatsApp or call0985367810🙏

 Ngati   mukufuna chuma   chimene   chilibe   magaziii  or munthu   ali   kunja   kwa ziko   lino , sindingayankhule   zambili   chifukwa   anzanu   ndiye   akupita   inu  mumadikila  kut muzamuone   munthu atachita   bwino   komaso   anzanu   sangakuuzeni kut zinachokela   apa   whatsapp   or  call    +265 985367810 Chikwama    wallet    zikomo.  G
Mpampo KASACHE 🙏",Economy,Neutral,Low,No,irrelevant
458,My people football. Kkkkkk goood evining kkkkkkk,Economy,Neutral,Low,No,irrelevant
459,Kond maonekedwe ndi omwe Anja,Economy,Neutral,High,Yes,
460,MuandaMuandaMuli NDI zaka 21 mpaka 78 ndiuzeni ndalama yomwe ukufunayo isapitilile k50 million kapena Rand 2 million isapitilile nambala ndi yiyi+265982797135) ndipo itakulowa nyumba mwanu kapena ku account yanu ndipo bwelani ndi umboni chuma chopanda magazi kulipira zikatheka zikhomo anthu nonse,Economy,Neutral,Low,No,irrelevant
461,Bola akapanga 500 ndi 1000 yachisulo osat zawozi,Economy,Negative,High,Yes,
462,"Kungooononga ndalama za msonkho wathu , it's  not Relevant with our economy",Economy,Negative,High,Yes,
463,Welcome coins,Economy,Positive,High,Yes,
464,Koma zopanda ntchito kwenikweni chifukwa sikuti tingathandizike kwenikweni ndindalama zimenezo ayi.,Economy,Negative,High,Yes,
465,"You can agree now that 10,000 Malaw kwacha is loading...…. 🤷🤷🤷🤷🤷 And it is already in reserve bank of Mw",Economy,Neutral,High,Yes,
466,https://youtu.be/xGPeealqSSo?si=YPtoQPUTJTHz0sj_,Economy,Neutral,Low,No,irrelevant
467,Kodi ndalama za nyowani mwezi uliwonse mumazitenga kuti ? Ine ndimadabwa evele manfi ndikakatenga ndalama zimakhala za tsopano zoima bwino,Economy,Neutral,Medium,Yes,
468,Zitithandiza chani zimenezo pa economy yathu,Economy,Negative,High,Yes,
469,Very soon we gonna be like Zimbabwe I'm sure,Economy,Negative,High,Yes,
470,Zopanda ntchito zimenezo,Economy,Negative,High,Yes,
471,"DZINA LANGA NDINE (JAMES ) KWATU NDI KU THYOLO KOMA NDILI KUNO KU SOUTH AFRICA KU CAPE TOWN LERO NDABWERA NDI UMBONI WA BABA MCHIMBO AMENE ADABWELETSA CHIMWEMWE MUTIMA MWANGA  MUNTHUNE NDAKHALA NDI KUVUTIKA KWA NTHAWI YAITALI  MOTI NTCHITO ZIMASOWA CHONCHO TSIKU LINA NDIDAONA POST YA M'ZIBAMBO WINA DZINA LAKE AMOS PATRICK PA (FB) AKUPANGA COMENT ZA BABA MCHIMBO KUTI AMATHA KUMULEMELETSA MUNTHU PA 40MINUTS YOKHA KOMA MOPANDA KUKHEZA MWAZI CHONCHO NDITAMVA IZI NDINASANGALAZIDWA NAZO NDIKUTENGA NAMBALA YA  CHIMWAZA  NDIPO NTHAWI YOMWEYO NDINAMUYIMBIRA NDIKUMUFOTOKOZERA NDIMENE NYENGO ZANGA ZINALILI. NDIPO IYE ANATI MWAI NDILI NAWO CHIFUKWA NDINAPEZA NAMBALA YAWO CHONCHO NDILI NDI MWAI WAUKHULU ZEDI CHONCHO ANANDIUZA NDIPEZE BIGILI WA 20LITERS, MAZIRA  AWIRI, NDI M'CHERE WAMIBULU KUTI NDALAMA ZILOWE NYUMBA MWANGA  NDIPO NDITAPANGA ZONSE ADANDIUZASO KUTI NDIPEMBERE CHAMUMTIMA MWANGA NDITCHULE  ZOMWE NDIKUKHUMBA M'MOYO MWANGA KENAKO ADANDIUZA NDITULUKEMO CHONCHO  PANANGO DUTSA 1HOUR AND 40MINUTS NDINANGOONA AKUNDIIMBIRA FONI KUTI NDALAMA ZALOWA ZOKWANA 1MILION RAND KOTERO NDINALI NDICHIMWEMWE ZEDI, KOMASO ADANDIUZA KUTI NDITHA KUKAGULILA NDALAMAYI CHOMWE NDIMACHIFUNA M'MOYO WANGA, CHOYAMBA NDIDAGULA NYUMBA GALIMOTO NDIMAPANGA BUSINESS YA MA SALOON  NDI MA RESTAURANTS MUMZINDA WA BLANTYRE MULIMBI AMALAWI NDIKUKUZIMIKIZANI KUTI CHUMACHI NDI CHABWINO CHOPANDA MAGAZI BOLA KUNGO SATHA NDIKUVETSERA ZOMWE AKUUZA M'SING'ANGAYU BASI  NDIPO ZINTHU ZANU ZIZASINTHA NGATI MUKUFUNA THANDIZOLI LUMIKIZANA NAWO PA (0987811006 AMALAWI NDIKUZIMIKIZIRANI KUTI BABA MCHIMBO AKUPANGA ZA POMPO POMPO ZACHANGU  Call or WhasApp   (0987811006",Economy,Neutral,Low,No,irrelevant
472,Precious Orphan Banda,Economy,Neutral,Low,No,irrelevant
473,😂😂😂,Economy,Negative,High,Yes,
474,🤣🤣,Economy,Negative,High,Yes,
475,💔💔💔🥃,Economy,Negative,High,Yes,
476,🤣🤣🤣🤣🤣🤣🤣🤣,Economy,Negative,High,Yes,
477,https://www.facebook.com/100093014640518/posts/858664577244023/,Economy,Neutral,High,No,irrelevant
478,🤣🤣🤣,Economy,Negative,High,Yes,
479,Ku ukwat ma coin a 50 kwacha🤣🙌,Economy,Negative,High,Yes,
480,"Enzo S. John 
Mpesuka Khondiwa",Economy,Neutral,High,No,
481,🤣😂,Economy,Negative,High,Yes,
482,Life's changing eeeh tukulad😣,Economy,Negative,High,Yes,
483,Kwatha hahaha 😆 Malawi mayoooo,Economy,Negative,High,Yes,
484,Those who have done economics can relate and after that they can smile,Economy,Neutral,High,Yes,
485,Zimbabwe in making 😏,Economy,Negative,High,Yes,
486,Osagosia kuzipanga bwanj,Economy,Negative,High,Yes,
487,Ine maona ngat emoji,Economy,Neutral,Low,No,
488,Km abale ndie ukhale ndi20pin ndalama ngati izi😄😏😏,Economy,Negative,High,Yes,
489,The fall of Mkulukuta moyo,Economy,Negative,High,Yes,
490,Another devaluation loading,Economy,Negative,High,Yes,
491,Kusowatu zochita ukuu iyaa🚮🚮,Economy,Negative,High,Yes,
492,Foseki,Economy,Negative,High,Yes,
493,Nde ma coin ndkaponya bwanji kuukwat wa chemwali😢 mkunamatu inu #RBM,Economy,Negative,High,Yes,
494,Katundu tizingosinthanitsa inu,Economy,Neutral,High,Yes,
496,Cholinga zigege tizigula 100 kwacha,Economy,Negative,High,Yes,
497,Pangani zoti azipezeka kwambili akhale mafuta agalimoto,Economy,Negative,High,Yes,
498,"Zamkhutu zeni zeni, mene amakanira ndalama imeneyi ku ma shop  ,😏😏",Economy,Negative,High,Yes,
499,Bas Ma Coin 10 a k50 ndikapeleke Ku church.... 😁😁,Economy,Neutral,High,Yes,
