id,text,Topic-label,Sentiment-label,Confidence,Include,Notes
299,Kma masam a ndalamawa mayendesa bwanji???? Ndalama zkutengaso ndalama zambir 😂😂😂🙌🙌🙌,Economy,Negative,High,Yes,
300,Ndalama yonyasa komaso zoopsa ine ndiziitaya iyi kkkkkk,Economy,Positive,Low,Yes,
301,Basi sindipanga ukwati anthu angazandigende nazo pofupa 😂😂,Economy,Positive,Low,No,
302,Kutitenga Malawi anthu opusa,Economy,Negative,High,Yes,
303,Ine ndili ndi ma k20 apepala koma akukanidwa ndiye yachitsuloyo ilandilidwa?,Economy,Negative,High,Yes,
304,"Musithe zikhaleko ndi weight yabwino,, anyamata ogula zitsulo akuzifuna",Economy,Negative,High,No,
305,Zazii!! Ikumagwira ntchito yanji ndalama mwanenazi kufuna kupalana mkamwa eti tikalakhula mokhazula mutitenge olakwika,Economy,Negative,High,Yes,
306,Tikukamba nkhani ya Tobacco kuti chonde!!! gulani bwino not ma coins,Economy,Negative,High,Yes,
307,Anthu omwe asowesa mafuta ku NOCMA nuwaziwa kotero pofika pa 17 week yammawa ntchito zao zikhala zitatha.,Economy,Negative,High,No,
308,20 kwacha tizigulila chan,Economy,Negative,High,Yes,
309,Kusonyeza kuti akuwopa kuti ena akhoza kupanga yachinyengo eti? 🤣🤣🤣🤣🤣🤣🤣,Economy,Neutral,Medium,No,
310,"Zikufunika ku reserve bank komweko , tindalma tichedwesa kuwelengera timeneto",Economy,Neutral,Medium,Yes,
311,Moti ndalamazo wapangitsa ndi munthu wa mutu wake ndithu?. If money is printed. Why can’t they print zoti atigaire?,Economy,Positive,Low,Yes,
312,Kma mudziwa kut tili ndi Ana Amaponya mumkamwa zimenezo bas ndalama ku airtel money ndi mpamba mukhala nazo komweko zimenezo,Economy,Negative,High,Yes,
313,ingothesani ..ndalama iyambile K100 chabwino,Economy,Negative,High,No,
314,Akanapanga kuyambila pa 1000 kusika mmusi bwezi zili zabwino kwambiri,Economy,Negative,High,Yes,
315,Tivomereze kuti ndalama tsopano ikuyambira pa 100 kwacha.,Economy,Neutral,Low,Yes,
317,So zondiikapo ine zinja zakanika? Wakhomelela ndanio?,Economy,Negative,Medium,No,
318,Kumaona ndalama zake abale AAA nanga 20 kwacha? 🤣🤣🤣🤣🤣,Economy,Negative,High,Yes,
319,Ifetu kwathu k20 idaleka ugwila ntchito,Economy,Negative,High,No,
320,Madala Zedeu  tiyen tizikakhaala ku zambia coz nono nooooo Malawi atipha uyu😂😂,Economy,Negative,High,Yes,
321,Mwangoononga ndalama kupanga ndalama izizi. Ndalamatu izizi sungamati wanyamula ndalama ataaa,Economy,Negative,High,Yes,
322,Basi kupuma kulibe eish,Economy,Negative,High,Yes,
323,Zitipindulira chani zimenezi?,Economy,Positive,High,No,
324,Zizimulemera nda?,Economy,Negative,Low,Yes,
325,Anthu akukana ma 20k nde a bank mutani,Economy,Negative,Medium,No,
326,Kodi opangawo akapanga k20 mumawalipira zinga,Economy,Negative,Medium,Yes,
327,"Boma la malawi Lili ngati lilibe prezident, koma mpaka kumapanga k50 kwacha ya chisulo kodi makawi akupita kuti, malo mopanga k50 kwacha yapepala komaso kubwezeletsa zithu chikale nthawi ya Udf ikalamulila koma lero mukupangabe zithu kuti dziko lipite pansi, ulamulilo wa chakwera zithu zinali wesi so inuso mukuwasekerela anthu awa napanga makobili achisulo chonchi ngati sogoleri palibe? Kodi mukugonabe? Mukufuna zikhale ngati chikangawabe zikoli? Am sorry Malawi",Economy,Negative,Medium,No,
328,Anafunsa ndani,Economy,Negative,High,Yes,
329,The lost kingdom,Economy,Negative,High,Yes,
