,text,topic_label,sentiment_label,confidence,include,notes
861,Azikatani ngat muli mafuta,economy,negative,high,yes,
862,Nanga amene ali ndi zigayo muwapanga bwanji,economy,neutral,medium,yes,
863,Muyikanso lev ya wapolice,economy,negative,high,yes,
864,Bola kumawapatsa khusa koz eée kumachema,economy,neutral,high,yes,
865,"Zakuvutani basi,, police officer mpaka pa filing station aà kenaka muyamba kulondera soya wa alimi
Kkkkk devil is running da nation",economy,negative,high,yes,
866,Tangobweretsani fiyuwelo yo apa once ali ngambwingambwi sipangasoweke police,economy,neutral,high,yes,
867,Apolisi adyekoso,economy,negative,high,yes,
868,Zativuta basi apa a Malawi tilitokha apa 😂😂😂,economy,negative,high,yes,
869,Boma ili linatipweteka kwambir,economy,negative,high,yes,
870,Even a police Ali pompo 24 hrs ...That behavior will continue....ndipo mwna to the worstest,economy,negative,high,yes,
871,Munkaona ngati zimenezi sizizachitikanso eishhh,economy,negative,high,yes,
872,Wazingwa malingwere wasowa mndowero 😄 🤣 😂,economy,negative,high,yes,
873,"DEPLOYING POLICE OFFICERS IS TAX - PAYERS ' MONEY THROUGH ALLOWANCES  . PERMANENT SOLUTION  - FILL ALL THE THIRSTY ,   DRY FILLING STATIONS WITH FUEL AS YOU PROMISED OF EVER - FULL FUEL STATIONS . NOT ALWAYS TELLING US FOLKLORES !!!!!",economy,neutral,medium,yes,
874,Zavutazavuta kumavomereza iyah ogulira mu ma jerricans wo azikatata mesa onse ndiothira ma engine 🤣🤣🤣aaaa mwatani amalawi,economy,negative,high,yes,
875,Munasankha olakwika 😅😅😅,economy,negative,high,yes,
876,Za ziiii zauchitsiru,economy,negative,high,yes,
877,"That's off the target 
How will boats be i  operation, how will maize milling machines in rural areas operate without jerrican fuel, how will vehicles which run out of fuel on the road reach next filling station, what about maize shelling machines thus time being harvesting season, how will diesel water pumps work without jerrican fuel? The problem is not jerricans but fuel availability please.
Fix the problem and everything will fall in its right position.",economy,negative,high,yes,
878,"Whoever gave this directive they are not intouch with the reality on the ground, get informed, ask those on the ground on what needs to be done and of truth pakungofunika mafuta, otherwise mwayiwala kuti mafuta sagwiritsa ntchito amagalimoto okha Malawi Government",economy,neutral,high,yes,
879,Crisis,economy,negative,high,yes,
880,Bring back our fuel Period.,economy,negative,high,yes,
881,Aaaaah mwasowa zolembatu kumalawi kuli wapolice? Aaaah zose mukukambazi zikumachitika wa police Ali pafupi ndipo akumaona osachitapo kanthu,economy,negative,high,yes,
882,"🤣🤣🤣 Malawi be  serious,, corruption it comes from 👮",economy,negative,high,yes,
884,Mitu siikugwira,economy,negative,high,yes,
885,Amayambitsa chipwirikiti ndi a police omwewonso,economy,negative,high,yes,
886,Kutha ma plan uku kkkkkk,economy,positive,high,yes,
887,Police nde ikuyambitsa zolandila ndalamayo aaaa ingopangani zotheka kuti Fuel ⛽️ apezeke paliponse,economy,negative,high,yes,
888,Apolice wo nde eni ake ma deal ase. Uku anthu azivutika kuthila,economy,negative,high,yes,
889,The most corrupt is police officers.This can not work.,economy,negative,high,yes,
890,A police nde oyambisawo,economy,negative,high,yes,
891,"Tangogulani mafuta okwanira basi, zinazo tichedwa nazo 😂",economy,neutral,high,yes,
892,Anthu mmawapatsa zochepa expecting them to work efficiently,economy,negative,high,yes,
893,It's all the same 🤣,economy,negative,high,yes,
894,Kom mvuto ili lasautsa maiko KOD zocharger si deal,economy,negative,medium,yes,
895,Zantiiiiii,economy,negative,high,yes,
896,Poor governance,economy,negative,high,yes,
897,Linda mahalq walije and 8s 9ne of those guys who pretend to be ignorant on the US -Iran war,economy,neutral,medium,no,Off point
898,Ma officers ake ati kkkkkkk mukanaziwa nawo amadyera momo,economy,negative,high,yes,
900,🤣🤣🤣🤣,economy,negative,high,yes,Sarcastic
901,Apolisi adya bwino,economy,negative,high,yes,
902,Kapokola ananale sopano,economy,negative,high,yes,
903,Ma jerricans akumadutsa bom Lori pomwepo...athu akumenyana unyolo uli manja...,economy,negative,medium,yes,
904,Make fuel available basi,economy,neutral,high,yes,
905,In fact they are the worst than what you are thinking,economy,negative,high,yes,
906,Wa police naye ndi munthu... ..mavuto akwao amadziwa yekha.🤣🤣🤣🤣🤣,economy,negative,high,yes,
907,"Ine kuti ndikapeze filling station yapafupi ndikuyenera kuyenda 30 km,  azigubuwo amatithandiza .mafuta bweretsani ochuluka kuzembetsa sikukhalapo ....",economy,neutral,high,yes,
908,"Maybe they don't know, timathira mu tank ya galimoto kapena njinga kenako nkukathira mzigubu",economy,negative,high,yes,
909,Mpha Tso Mukuti zikutani kodi? 😅,economy,negative,high,yes,Sarcastic by mentioning his friend
910,Apoliai nde nanjii mmmmh,economy,negative,high,yes,
911,Sakuwadziwa a police wo 🤣🤣🤣🤣,economy,negative,high,yes,
912,"Aaah ingobweletsani fuel ochuluka basi,a police akumapemphaso ya Lunch kwa mavenda pompo ndiwo akukwelezelaso chinyengo🏃‍♂️🙌",economy,neutral,high,yes,
913,Eeeeee zafika apa ?🤔 Ndie tizitiso bola dzulotu,economy,negative,high,yes,
914,Ok,economy,neutral,high,yes,
915,These guys are easily to be bribed hence a Usesless development,economy,negative,high,yes,
916,We joke 100 much 🤣🤣🤣🤣,economy,negative,high,yes,
917,Ngambwi ngambwi,economy,negative,high,yes,Sarcastic
918,"Cry, my beloved country.😭😭😭😭",economy,negative,high,yes,
919,Illegal fuel purchasing?,economy,neutral,high,yes,
920,"Whether involving Police 🚔 or not, and whether they allow the use of Jerricans or not, but they can't prevent illegal fuel purchase and corruption. 

That's my opinion,",economy,neutral,high,yes,
921,Ok,economy,neutral,high,yes,
922,"Koma Kodi adondo akutundawa zinthu akamayakhula amakhala aganiza bwa kapena amangoyakhula Kt Ali Ndi Kamwa bas ,,police yake Nde  itiYoo yoti ikafika pa Malo nayo Nde imapanga katangale size kukanan😝🤗",economy,negative,high,yes,
923,Q for kwachema,economy,negative,high,yes,
924,Increasing fraud and bribes😊,economy,negative,high,yes,
925,police officers ??! kukankhira pumbwa kuchipwete. Now time for them to collect their shame,economy,negative,high,yes,
926,Wa police ndiye mbava yachikhalire 😂,economy,negative,high,yes,
927,Dpp inabwera kuzaba kupha komanso kuononga itimaliza tonse,economy,negative,high,yes,
928,🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂,economy,negative,high,yes,
929,Let's sale this country to our  neighbors  Zambia or Tanzania,economy,negative,high,yes,
930,"Tangopangan zot mafutawo asamasowe ma filling simple,akapezeka mwakathithi mavenda asowa nawo kolowera.",economy,neutral,high,yes,
931,Apolice nde achinyengowo,economy,negative,high,yes,
932,Ndi amene amabweletsanso chisokonezo ndi chinyengo awa,economy,negative,high,yes,
933,Apo nde wa police alemera ka🤣🤣🤣🤣,economy,negative,high,yes,
934,Wayiphula wapa duty,economy,negative,high,yes,
935,Mistake,economy,negative,high,yes,
936,Okay,economy,neutral,high,yes,
937,Tangopangani zakut mafuta azipezeka basi aaa😂😂,economy,neutral,high,yes,
939,Kuno tadya  nsima ndiwo zake ndi chimanga chokazinga,economy,neutral,medium,no,off point
940,1+2=3.🤣,economy,neutral,high,no,off point
941,A Police ndamene amanyamula zigubu kuika mu Sienta😂😂😂,economy,negative,high,yes,
942,Kumaliopa mawa achina Suleman mwava kumeneko,economy,negative,high,yes,
943,That's not a solution...the product is scarce and that's something to work on..,economy,neutral,high,yes,
944,Kuganix kopepel,economy,negative,high,yes,
945,Wakuba apiteso pa ⛽ ayayaya,economy,negative,high,yes,
946,Nthawi yoti naye wa police ananale yafika . What a great move 👏,economy,negative,high,yes,
947,Try and error,economy,negative,high,yes,
948,Imagen,economy,neutral,medium,no,not complete
949,Osadalira munthu wakuti naye zikumuvuta and mutu mwake mukuyenda zakuti anthu kunyumba adya chani,economy,negative,high,yes,
950,Apolisi akungosekelera kuti apa basi tawoloka,economy,negative,high,yes,
951,Anthu amagula muzigubu wa police ali pompo poti,economy,negative,high,yes,
952,Corruption number 1,economy,negative,high,yes,
953,Koma tanyozeka ndi neighbor wathu Zambia yu eeee akutinyozatu😂😂😂,economy,negative,high,yes,
954,Apa nde kuonetseratu kuti boma latha nzeru,economy,negative,high,yes,
955,Hehede ulu,economy,negative,high,yes,
957,Potulutsira ndalama tsopano... Shut zanu,economy,negative,high,yes,
958,"Instead of bringing more fuel to eazy the demand, instead of supplying more fuel to eazy the pressure on demand u think of supplying more police officer's, money for supplying more police officer's buy more fuel,we need real solutions to our real problem",economy,negative,high,yes,
959,"Do u thnk cz u mention the name of police then it will be all good, the same police u talking of they re the ones also receiving money fpr one to pass and hv fuel, they get 2000 per motor bike person and 5000 from car owners",economy,negative,medium,yes,
960,Kkkkkkkk downfall of mwenemutapa kingdom,economy,negative,high,yes,
961,😂🤣😂🤣,economy,negative,high,yes,
962,Kma yah,economy,negative,high,yes,
963,Okay,economy,neutral,medium,yes,
964,😂😂😂,economy,negative,high,yes,
966,Tinakuudzani musavotele nkhalamba lero NDI idzi,economy,negative,high,yes,
967,This is all coming bcz of scarcity.,economy,neutral,high,yes,
968,Ndiye ngati vendor saoda akakakuthelan muzithla matope mu tank et?,economy,negative,high,yes,
969,Police ndye corruption yo,economy,negative,high,yes,
970,Tikuthira waka mu galimoto nakukapopamo mbwenu talanga mbuzi,economy,negative,high,no,Chitumbuka 
971,Paka police 😂😂😂🙌,economy,negative,high,yes,
972,Fuel akupezeka ndi anthu Oti alibe olo njinga yakapalasa,economy,negative,high,yes,
974,Nde police ingatan🤣🤣,economy,negative,high,yes,
975,Pakalapakala,economy,negative,high,yes,
976,Mmmmm tapitan uko inu aaaaa zaziii mesa nde abweniz ambava amenewo,economy,negative,high,yes,
977,"Ngati achuluka ena apatseni zawo, osati pa filingstation ayi, amalimbikitsa za chinyengo",economy,negative,high,yes,
978,Aaaaaa ntedza kuusiya mu thumba la makoswe 😂😂😂,economy,negative,high,yes,
979,😂😂😂😂 system ija kuno,economy,negative,high,yes,
980,Who will be paying the Malawi Police Service,economy,neutral,high,yes,
981,Patrick S. Luwayo DPP ikugona too much nkhalamba ija aaaaaa,economy,negative,high,yes,
982,Mutiphetsa ine ndekha ai or mutandichosa tchito,economy,negative,high,yes,
983,Corrupt guys,economy,negative,high,yes,
984,Komatu amati lero fuel akhalapo 🙌🙌🙌,economy,negative,high,yes,
985,history keeps on repeating itself again and again,economy,negative,high,yes,
986,Kkkkkk odiii uko,economy,negative,high,yes,
987,Wina analankhula kuti pofika mawa lachiliwili mafuta akhala palipose tiona,economy,negative,high,yes,
988,"The level of corruption in malawi is beyond repair, vendors may even pay bribe to the so called police officers, just try hard to consume enough fuel for citizens, the stamina ordering police officers to protect illegal fuel to vendors with jerrycans should also be the same or two times efforts to purchase fuel enough for the nation",economy,negative,high,yes,
989,Nde muona ngati awopa a police wo? Aaaa you joke too much,economy,negative,high,yes,
990,Police yake ya Malaw yomweyi?,economy,negative,high,yes,
991,🤣🤣🤣,economy,negative,high,yes,
992,Kkkkk a police kpn a imkata 😂,economy,negative,high,yes,
993,"Petroda is the worst casualty in managing crowds. Even in the presence of the police, there is always chaos in their filling stations

Petroda Filling Station can do better",economy,neutral,medium,yes,
994,Koma boma lapanikizika ili 🤣🤣🤣🤣🤣,economy,negative,high,yes,
995,Corruption x4 now,economy,negative,high,yes,
996,Dzifufu ana Abalaba,economy,negative,high,yes,
997,The OC and 1k others are smiling!!😂😂😂🙌🙌🙌🙌,economy,negative,high,yes,
998,Aaaah 🤣🤣🤣🤣,economy,negative,medium,yes,
999,Tinavota titaledzera,economy,negative,high,yes,
