id,text,topic_label,sentiment_label,confidence,include,notes
278,"And my prayer would always be God should extend Mr Napoleon Zombie's life, this man needs a certain level of high profile security because these politicians are like wild folks, they will see him as a competitor and they will plan to terminate his dreams...because ku feteleza kuja ena kuli mgodi wawo... 
 
 This one is a Malawian asset pamene tikuzipemphelela tokha uyuso uyu tizimupemphelela uyu ambuye amusamalile uyu amutetezele kuthelatu...
 
 We would rather loose a politician than loosing this man.
 
 Another one is Bushiri uyuso uyu ndi pangolin wapadera uyu. Ine nkazakumanaye uyu azandilole nzamupaseko moni wapazanja. God should protect these gentlemen",Economy,Positive,Low,No,
279,So akuluwa zogula Feteleza ku Butchery adāzitenga phesono eeh 🤔❓,Economy,Negative,Medium,No,
280,Zimachedwa kut izii,Economy,Positive,High,Yes,
281,Amuna eni eni👍,Economy,Positive,High,Yes,
282,May he live longer,Economy,Positive,High,Yes,
283,That's a nice story,Economy,Positive,High,Yes,
284,Tate🙏🙏🙏🙏🙏,Economy,Positive,High,Yes,
285,That's good news,Economy,Positive,High,Yes,
286,Adorable,Economy,Positive,High,Yes,
287,The winning team ♥️💪,,Positive,High,Yes,
288,"I think we don't need Politicians in this country. Let them go and rot in hell. 
 
 Ambuye mdalitseni Napoleon Dzombe. Mpatseni moyo wautali ndi wamphamvu. Mchotsereni zopsinja zina zilizonse pamoyo wake. 
 
 Mpatseni chimwemwe kuti adzikondwa masiku onse Ali ndi moyo pansi pano.",Economy,Negative,Low,No,
289,Kkkkkk koma yaaa panga zithu,Economy,Neutral,High,Yes,
290,Ukali,Economy,Positive,High,Yes,
291,The great one,Economy,Positive,High,Yes,
292,The guy is very wise,Economy,Positive,High,Yes,
293,"Wina comment yake angolimbana ndi DPP as if it's the first political party kulamula dziko lino. Chilichonse kulowesa ndale, chimidzi basi. Congratulations Napoleon Dzombe, True son of soil.",Economy,,,,
294,Great man! 🫡,Economy,Positive,High,Yes,
295,When I grow up I want to be napoleon Dzombe,Economy,Positive,High,Yes,
296,Mzeru 🔥🔥,Economy,Positive,High,Yes,
297,Uyuyu mkatundu,Economy,Positive,High,Yes,
298,"Ku Dowa kuli anthu oganiza bhoo heavy. 
 Ife ngati aku Dowa tili okondwa kwambiri",Economy,Positive,High,Yes,
299,Izi ndizomwe tinkadikilira,Economy,Positive,High,Yes,
300,Dowa sigawa kamba 💥💥💥,Economy,Positive,High,Yes,
301,This guy is amazing kkkk,Economy,Positive,High,Yes,
302,Wonderful,Economy,Positive,High,Yes,
303,King dzombe,Economy,Positive,High,Yes,
304,Iyi ndenkhani kaya.....why hasn't it been in the limelight already hearing this first time...progressive thinking #salute,Economy,Positive,High,Yes,
305,"Mr dzombe is doing the best mwina dzombe linakakhala boma ,boma nkukhala dzombe",Economy,Positive,High,Yes,
306,The Power of the innovative minds 🔥,Economy,Positive,High,Yes,
307,That's positive thinking finding solutions to problems crippling the country we need more of you than politicians in this country,Economy,Positive,High,Yes,
308,Very impressive,Economy,Positive,High,Yes,
309,Waivungira kwakuya mdalayu yhoo💪💪,Economy,Positive,High,Yes,
310,The greatest progress in malawi,Economy,Positive,High,Yes,
311,Machine pawonkha,Economy,Positive,High,Yes,
312,People we need in this country ali ngat inuyo. Big up .,Economy,Positive,High,Yes,
313,Nzeru zokhazokha,Economy,Positive,High,Yes,
314,Great Man With Great Vision 💯✊️,Economy,Positive,High,Yes,
315,"Mechanical engineers
 Industrial Engineers
 Chemical Engineers
 Accountants 
 Journalists
 
 And many more notable fields will be employed here by someone who never submitted an assignment.
 
 Zeru zapa ndalama sizimafunika sukulu yapatali nkhan ndikumvetsa mene business ingayendele basi.
 
 #Bravo our own home made billionaire 
 Dowa osadzayitola even 200 metric tones yomwe APM akugula Zambia ija kulowa mu misika ya ku Dowa atha kukayipeza.",Economy,Neutral,Medium,Yes,
317,Dolo kwambiri,Economy,Positive,High,Yes,
318,Build Malawi,Economy,Positive,High,Yes,
319,Great movie,Economy,,,,
320,Bola mwina nkumazagurako 4k nkathu uja 🤣🤣🤣,Economy,Neutral,High,No,its not making sense
321,Congrats,Economy,Positive,High,Yes,
322,Kasongo,Economy,Positive,High,Yes,
323,Mzeru za abambo 👏🏾,Economy,Positive,High,Yes,
324,One of Malawian greatest men brains,Economy,Positive,High,Yes,
325,Apite ku LUANAR akakhare Lecturer 🔥✅,Economy,Positive,High,Yes,
326,Ndipo titakhala nawo 5 anthu otelewa sitingakhaleso pa top 5 of poorest country in the world,Economy,Positive,High,Yes,
327,Very true,Economy,Positive,High,Yes,
328,Azibambo,Economy,Positive,High,Yes,
329,Katundu 🔥,Economy,Positive,High,Yes,
