,text,topic_label,sentiment_label,confidence,include,notes
203,Big  boss wanthu timaziwa kuti achitapo ndinthu sikuti kukhara chete kuja samaganizira amalawi  aketu,economy,positive,high,yes,
204,Munthu wamkulu kwambili..... biggy,economy,positive,high,yes,
205,Muli munthu umumu ndinthu,economy,positive,high,yes,
206,Za nyc,economy,positive,high,yes,
207,"thank you man of God, God bless you🫵 🫵 🫵 🫵",economy,positive,high,yes,
208,May God continue to bless him,economy,positive,high,yes,
209,Major 1 .Stay blessed,economy,positive,high,yes,
210,Shasha kwambili,economy,positive,high,yes,
211,Aaah akanabwera okhatu kma,economy,neutral,high,yes,
212,Osatopa chifukwatu iyiyi ndi Mbari umodzi yokha,economy,neutral,high,yes,
213,Uyu akazamwalira ofunika a boma muzapanse tsiku lake lake...muthu okonda dziko lake ngti uyu aaaa🙏🙏🙏👐👐👐👐👐👐,economy,positive,low,yes,
214,Ulemu wanu,economy,positive,low,no,irrelevant
215,Mumakwan,economy,positive,high,yes,
216,"Mwatimirira bigy, ulemu wanu",economy,positive,high,yes,
217,God continue to bless him,economy,positive,high,yes,
218,"""You are indeed a man of God, and you truly care about our people.""",economy,positive,high,yes,
219,Anthu onse amene amati bushiri ndi satanic + wakuba musakwere ma bus wo maka inu a yao,economy,negative,high,yes,
220,Inu president akhale yemweu bwanji,economy,positive,high,yes,
221,God bless you 🙏,economy,positive,high,yes,
222,Machine that beyond humanity 💪,economy,positive,high,yes,
223,Iwe nde mumthu iwe,economy,positive,high,yes,
224,Walalawalala💪🏿,economy,positive,high,yes,
225,God bless u brother,economy,positive,high,yes,
226,Doloo,economy,positive,high,yes,
227,"Tikwela nawo omwewa basi, Nkaone kwathu ine ahh",economy,neutral,high,yes,
228,Man of God in actions,economy,positive,high,yes,sarcasism
229,Katundu uyu ifetu tikukwela bas za bohb. Ulemu wanu a apulofeti🙏,economy,positive,high,yes,
230,Amakwanaaaaa,economy,positive,high,yes,
231,Mwana wa mudzi,economy,positive,high,yes,
232,News we love to hear🥰God bless you man of God,economy,positive,high,yes,
233,God bless you 🙏🙏🙏🙏,economy,positive,high,yes,
234,Muvyili withu sange tazingiziwa Doro ndi doro,economy,positive,high,yes,
235,Liyabunya ake mma pulofesi amnyooo 🤣🤣🤣,economy,positive,high,yes,
236,Nzeru 🇲🇼💯,economy,positive,high,yes,
237,Kodi uyu sangakhale mfumu yathu as malawians 🤭,economy,positive,high,yes,
238,Bola boma lisaziwe angamulese paja tili ndi ndale zachimizi😆😆,economy,negative,high,yes,
239,Nice move chief,economy,positive,high,yes,
240,Popitapo atengeko ifeo😅😅😅,economy,neutral,medium,yes,
241,May God bless him more and more,economy,positive,high,yes,
242,Dolo kwambr uyuu 👍,economy,positive,high,yes,
243,Mulungu amudalitse ndithu🙏,economy,positive,high,yes,
244,Which vidio. I want to corfam,economy,neutral,high,yes,
245,Chuma,economy,positive,medium,yes,
246,Wasala mpinga njira atumize Ake 15 nayeso amapindula nafe kwambiri,economy,neutral,medium,yes,
247,Achina ekhaya olo imodzi ife tiyamika koposa,economy,positive,high,yes,
248,Bola pamenepo,economy,positive,high,yes,
249,Kupusha kuposa boma,economy,negative,high,yes,
250,Nkhani sikoma imeneyo,economy,negative,medium,yes,
251,Umunthu,economy,neutral,medium,yes,
252,Amuna🥳🥳aletse zojambulana chonde ambiri  afuna atanyamuka 🫢🤭,economy,neutral,low,yes,
253,Ine bola andigwire Kaye ma bus awo sindingakwereko ata,economy,negative,medium,yes,
254,Uyuyu athadi kusamala Malawi yonse,economy,positive,medium,yes,
255,Eni mudzi aupeza mudzi utayaka😅😅,economy,neutral,medium,yes,
256,Habakuku nso apangepo kanthu,economy,neutral,high,yes,
257,Let's shout Amen 🥳,economy,positive,medium,yes,
258,M'malawi muno akanapezeka anthu 10 ngat bushiri zikoli bwezi lili penapake ndithu,economy,positive,medium,yes,
259,President of Malawi Dr Bushiri salute,economy,positive,high,yes,
260,Munthu wamkulu kwambiri amene mukuti wa satanic ndalama zanu zachilungamozo osathandiza bwanji  mtima wa nsanje amalawi,economy,positive,high,yes,
261,Boma Pa lokha ili,economy,positive,medium,yes,
262,Am looking for Atupere's Muluzi comment,economy,neutral,low,yes,
263,Mbambande 🔥,economy,positive,low,yes,
264,Mumakwana Major 1💥💥,economy,positive,medium,yes,
265,Zikomo major 1 🙏🙏,economy,positive,medium,yes,
266,God bless this man,economy,positive,high,yes,
267,Bushizo,economy,neutral,low,yes,
268,God blessed mr major,economy,positive,low,yes,
269,Waposa boma 🤣🤣,economy,negative,medium,yes,
270,bwana koma uyu,economy,positive,low,yes,
271,osawabweresa munjila yomwe adabwelera iye muja bwa?,economy,negative,low,yes,
272,🔥🔥🔥🔥🔥✌️man of the year 🔥❤️❤️❤️❤️,economy,positive,medium,yes,
273,God bless you bushiru athu akuvutika kuno  ku  Durban,economy,positive,high,yes,
274,Congratulations Mr bushir,economy,positive,medium,yes,
275,The way to go,economy,positive,low,yes,
276,Amen 🙏🙏🙏,economy,positive,low,yes,
277,Iweyo kaya ndiwe wasatanic kaya ayi koma mulungu azidalitsa chilichonse chaiweyo,economy,positive,medium,yes,
278,Ambuye abwezerese🙏,economy,positive,low,yes,
279,Thanks boss for your assist,economy,positive,medium,yes,
281,Simufuna oitanila 😩 I can volunteer 🥱😂,economy,neutral,high,yes,
282,Azibambo sopano respect,economy,positive,high,yes,
283,Mbambande,economy,positive,low,yes,sarcasis 
284,May God still bless you boss because of your humble,economy,positive,high,yes,
285,Koma kod nkuluyi mesa nae zitamuthina amagwilisa ntchito njila ya kamyanga kubwelela kumuz akanangotuza nafeso tili ready kale apa tungosowa njilayo bas nankha tonse tidikile ma bus ndy kut pali yesu pamenepo 😜😅,economy,negative,high,yes,
286,Koma sipafunika hostess bus Mo tiperekeze,economy,neutral,high,yes,
287,Akamunah bambo 🙏,economy,positive,high,yes,
288,Mirrium Ajusu ase zibwera pa mwanza nyamuka changu kkkk,economy,neutral,high,yes,
289,Ulemu wanu bwana bushiri,economy,positive,medium,yes,
290,Liabunya akuona ngati  Al🤣,economy,neutral,high,yes,
291,More blessings  Prophet Shepherd Bushiri 🙏,economy,positive,medium,yes,
292,Documented citizens tiyen Jonz tpt yaulele iyi,economy,positive,high,yes,
293,Thank you man of God,economy,positive,medium,yes,
294,Yazibambo ndiimeneyi eeetu,economy,positive,high,yes,
295,Forever be blessed,economy,positive,medium,yes,
296,Naye Chakwela sangataketake apilizi chonde,economy,negative,medium,yes,
297,Ndipita nawo mkangoona kuti zuti bwanji,economy,neutral,low,yes,
298,Bushiri landila flowers 💐 ukadali moyo,economy,positive,low,yes,
299,Iwe waikapo chaaa,economy,neutral,low,yes,
300,"I had a dream about this

Lord you're Awesome",economy,positive,medium,yes,
301,God bless you,economy,positive,low,no,irrelevant
302,Ulemu wanu a Prooo,economy,positive,medium,yes,
303,Good work 👏,economy,positive,low,no,irrelevant
304,Munthu mulala 💪🫡,economy,positive,low,yes,
305,"Kendrick's Froxy
Wafika kale kuno",economy,neutral,medium,yes,
306,Amene muli Capetown muneneretu komwe mukukumanirana🙌🙌,economy,neutral,low,yes,
307,God bless him,economy,positive,medium,yes,
308,Tiwonana 2030 uyu yekha cndimusiya zikomo,economy,neutral,low,yes,
309,And he is quite then his actions is always wow!way to go....,economy,positive,high,yes,
310,Wakulu,economy,positive,medium,yes,
311,Malo mowagulira anthu chimanga kumeneko azidya ife ndye tili kunotu sitikuchoka ai,economy,negative,low,yes,
312,I wish ndikanabwela koma ndikwathu kuno 😂😂😂😂😂😂😂,economy,neutral,low,yes,
313,Awawa nde tikwera go n back ma bus ndiathu awa tisasakanikirane,economy,neutral,high,yes,
314,2030  imilan  bwana,economy,positive,high,yes,
315,Thats  good news,economy,positive,high,yes,
316,Munthu👏,economy,positive,high,yes,
317,Uyuyu amayesesa even nthawi ya namondwe ija anayesesa,economy,negative,high,yes,
318,Asasafilika ngati alire🤗😂😂,economy,negative,high,yes,
320,Well done papa you trying the best,economy,positive,high,yes,
321,Zikufunika kusinthana izi ena kupita ena kubwera nanga bus mungokhala driver yekha basi,economy,neutral,high,yes,
322,This is nice 👍🏿 bravo 👏🏿,economy,positive,high,yes,
323,,economy,negative,high,yes,
324,Good job,economy,positive,high,yes,
325,Abusa,economy,positive,high,yes,
326,Umh vuto ena akupitaso konko with no documentation. 🙄,economy,negative,high,yes,
327,Zaphavu Koma 🙏,economy,positive,high,no,
328,Amen 🙏 kukhala koma kumeneku,economy,positive,high,yes,
329,Uwu ndiye udolo,economy,positive,high,yes,
330,Mwaswera bwanji a Malawi😬😁😁😁,economy,neutral,high,yes,
331,Ntchito mukuigwilatu,economy,positive,high,yes,
,Get ready,economy,positive,high,yes,
,Mnde wina chipitilrni kwao sanathandizike achita kumuchalira akafika aziona,economy,negative,medium,yes,
,Bwana 🔥,economy,positive,high,yes,
,Zosangalasa kobasi,economy,positive,high,yes,
,Uyu nd dolo,economy,positive,high,yes,
,Nite waka Amen 🙏,economy,positive,high,yes,
,Kod iwe mpinganjira tiziti sukusilira eti,economy,negative,medium,yes,
,Panakakhala a bushir 5 in our country bwenz ma bus okatenga anthu ali 50. Kusamutsa ndikhuku zomwe,economy,positive,high,yes,
,🙏🙏 ambuye awonjezer,economy,positive,high,yes,
,Pamene Boma likudikila ma well wishers 😀,economy,negative,medium,yes,
,"Pano aboma Ali tatumiza ma buss 10 kukatenga ku Jon. M'malo molembe lipoti lomveka bwino kuti prophet bushiri watithandiza ndi ma buss 10 kukapulumutsa anthu kutheba paziwawa. 
Amalawi awawa maka awawa sanje yanu yopandanayo manyazi",economy,negative,medium,yes,
,God bless you sir,economy,positive,high,yes,
,Akatelo wina wake phuno phwiii Ku kwiya.. kumalawi adha respect fada,economy,negative,medium,yes,
,Dolo kwambir,economy,positive,high,yes,
,Bola pamenepo 🙏,economy,positive,high,yes,
,Akamuna kwambiri,economy,positive,high,yes,
,Akhalitse apulo🥳🥳🥳🥳🥰,economy,positive,high,yes,
,Kuno ku northern west tulindila zaulele zenezizo😁😄😃,economy,neutral,medium,yes,
,Uyu tangopasani malawiyu,economy,positive,high,yes,
,Wow beautiful,economy,positive,high,yes,
,Chief anoneseni awa opanda mituwa perekani ndege amve kuwawa,economy,negative,high,yes,
,Mojor 1🥰🥰🥰,economy,positive,high,yes,
,God bless him🙏,economy,positive,high,yes,
,Ziribwino 🙏🙏,economy,positive,high,yes,
,Uja mmamutukwanayu,economy,positive,high,yes,
,"M,phwake wa mkulukuta",economy,positive,high,yes,
,"God bless you,, man of God simunakhalepo chete pamene amalawi akuvutika ,, may the almighty God give you long life 🙏",economy,positive,high,yes,
,Kukhala koma kumeneku,economy,positive,high,yes,
,This is awesome,economy,positive,high,yes,
,Koma pot SA imamusakaso iii ...respect to bushili,economy,positive,high,yes,
,Koma ena akuti ma bus sangapite ulere eeh amalawi kusamva kkkk,economy,neutral,medium,yes,
,Komatu akuti ena akupitakonso,economy,neutral,medium,yes,
,May God bless you sir,economy,positive,high,yes,
