,text,topic_label,sentiment_label,confidence,include,notes
368,Iiiiiii anthu achapilidwe sopano,economy,neutral,medium,no,
369,God bless him,economy,positive,high,yes,
370,Mulungu azimudalitsa,economy,positive,high,yes,
371,Dolo 🔥,economy,positive,high,yes,
372,This is what we call caring,economy,positive,high,yes,
373,Fada mwabwera🔥,economy,positive,high,yes,
374,Zikomo bushiri,economy,positive,high,yes,
375,Zosangalatsa tudikila ife,economy,positive,high,yes,
376,So ma bus wo akamapita ku South Africa chonde ndikwerenawo akandisiye jonz nanga ma bus azipita empty sikuononga fuel kumeneko?,economy,neutral,high,no,
377,Mzomwe timadikila 👏 ife tingot tathokoza,economy,positive,high,yes,
378,Ambuye akudalitseni mtsogoleri,economy,positive,high,yes,
379,God bless you major 1,economy,positive,high,yes,
380,Man of God,economy,positive,high,yes,
381,Dolo katatu,economy,positive,high,yes,
382,Koma English iweyo okey🤣,economy,neutral,high,yes,sarcasm
383,Uyuyu mulungu adzimudatsa,economy,positive,high,yes,
384,Umakwana,economy,positive,high,yes,
385,Ada awawa anathandiza koma gyz,economy,positive,high,yes,
386,Uyuyu ndi Dolo 💃💃💃💃,economy,positive,high,yes,
387,Love you papa,economy,positive,high,yes,
388,Dolo uyu ndipo ndi munthu othandiza,economy,positive,high,yes,
389,Wow! That's amazing 💪💯💯May God keep on blessing you❤️❤️,economy,positive,high,yes,
390,Awa ndi akulu,economy,positive,high,yes,
391,Zina kulowa zina kutuluka izi ndi zomwe tizipanga one Africa one continent 💪💓,economy,positive,high,yes,
392,Machine bambo👌,economy,positive,high,yes,
393,Mabus awili atenge athu jubeckimo pls,economy,neutral,low,no,not clear
394,Munthu wamkulu,economy,positive,high,yes,
395,Major one does something  amen,economy,positive,high,yes,
396,Munthu mulala,economy,positive,high,yes,
397,tizathetse mabanja tsopano azizathu,economy,neutral,medium,no,irrelevant
398,Nambo pere,economy,neutral,medium,no,irrelevant
399,"Mwina chuma ,odana ndi uyu amatamba",economy,positive,high,yes,
400,Flora Wamowe Saonda chifukwa nzakene ndimafuna ndikwele popitapa pobwera ndikabwera ndi omwewo,economy,positive,high,yes,
401,Ulandile masayiluti🔥🔥🔥🔥🔥🔥,economy,positive,high,yes,
402,Amen,economy,positive,high,yes,
403,Zafika pa natural disaster....,economy,negative,high,yes,
404,2030 timukakamiza ayimile upresident✅😂,economy,positive,high,yes,
405,Kmano kunena chilungamo bushiri uja ait mulungu azimudalitsa,economy,positive,high,yes,
406,Prophet ndi yemweyu sitikusintha,economy,positive,high,yes,
407,What we call love 💚,economy,positive,high,yes,
408,Izi nde nzeru♥️,economy,positive,high,yes,
409,Amen,economy,positive,high,yes,
410,Dolo kwambilii,economy,positive,high,yes,
412,Nkhani yabwino kwambili,economy,positive,high,yes,
413,Enawo alimndalama kma uyuyu samacheuka akama Spender.. This is a Servant Leader,economy,positive,high,yes,
414,Papa,economy,positive,high,yes,
415,"Okhwima wa ku mchinji uja kaya mumati ndani, wa makobili osamukhala uja. Iye simuzamumva. Chuma chokwimira, bola cha satanic amphwanga",economy,negative,high,yes,
416,"Simbi , Napoleon Zombie Nanunso chitamkoni, anthu obwera ku SA, amathandidzira kupititsa chuma chadziko patsogolo sikuti ngopanda ntchito ayi....",economy,neutral,high,yes,
417,Dolo kwambiri ayime 2030 vote yanga,economy,positive,high,yes,
418,Ma bigy ku Malawi kuno sangadutse awili,economy,positive,high,yes,
419,Zabwino koma izi,economy,positive,high,yes,
420,Iwe mikonzi kulemba chizungu cholinga Jacinta amve nao,economy,neutral,high,yes,sarcasm
421,Well done man of God,economy,positive,high,yes,
422,Koma ngakhale ena anamuda koma na uyuyu amathandiza osanama,economy,positive,high,yes,
423,Zimangovuta but this man can really help Malawi in all corner's serious,economy,positive,high,yes,
424,Boma kukanika munthu mmodzi mkuzakwanitsa aaaaa malawiii 🤣🤣🤣,economy,neutral,high,yes,sarcasm
425,"Indeed son of the soil,for everything his been doing since I'm speechless 😷Groly  to God 👏👏",economy,positive,high,yes,
426,Charity Mgabi nyonyoo.mutu ngati ujayi,economy,neutral,high,yes,sarcasm
427,Munthu mulala choomene,economy,positive,high,yes,
428,Kwasala a feteleza aja,economy,neutral,high,no,irrelevant
429,"I am not a fan of his, koma let’s give a credit where a credit is due. Zikomo 👏👏",economy,positive,high,yes,
430,Apo pafupi 680 anthu izi zapawa,economy,positive,high,yes,
431,Ndiye akafika azizayankhula mwamatama ngatiabwela patrasiport yawo🙄🙄🙄,economy,negative,medium,yes,
432,",,,south Africa ikuona ngat Ai ...kungomva dzina la munthu wapeleka ma busy 10 wo🤣🤣🤣",economy,neutral,medium,yes,
433,Zasangalasa kwambir,economy,positive,high,yes,
434,Chaku cape town uku please abwere ndithu. Tizivaya,economy,positive,high,yes,
435,Ur the best I'm game,economy,positive,high,yes,
436,Ineyo ndikuenera ndipite nawo ma bus sangapite empty,economy,neutral,medium,yes,
437,Uku ndiye timati kubwera,economy,positive,high,yes,
438,"Bola asagwire ma bus woh

Kms muwauze kt ngozi nd normal
   Asamuloze chala ikachoka Tyre

Ulo mkwiye km ndanenabe",economy,negative,high,yes,
439,Katundu mudzitho,economy,positive,high,yes,
440,Think u papa God bless you again,economy,positive,high,yes,
441,Uyu ndamene amafunira amalawi zabwino koma muva wina alowesapo ndale apapa tsikulina uyu chinthuchi adzatenge,economy,positive,high,yes,
442,Dolo kwambiri uyu,economy,positive,high,yes,
443,Bola pamenepo odi dzipita ine ma bus afikeso kuno spring,economy,positive,high,yes,
444,Afiketu ma bus wo ku pilitoliya kuno nafenso atiuza zoti tihambe makhaya,economy,neutral,medium,yes,
445,Bola ma bus wo asakhale olembedwa kuti Bushiri coz sakabwerako 😂😂,economy,negative,medium,yes,
446,Bushido more 🔥 🔥 🔥 🔥 🔥 🔥,economy,positive,high,yes,
447,Ma bus wo atenge anthu ama passport abwere nao..then azatenge awa azibwerera kumudzi🤣🤣🤣,economy,neutral,high,yes,
448,Some of the busses they must come here in capetown please  be serious,economy,negative,high,yes,
449,"Onse omati Bushiri ndiwasata,,,,,,asakwere kkkkkkk komanso aja amati degree holder sangandiuze zochita Lero akudikira bus ya Degree holder 🤭🤭🤭🤭🤭",economy,negative,medium,yes,
450,Bravo,economy,positive,high,yes,
451,Kodi anyamuka nthawi zanji?,economy,neutral,medium,yes,
452,If possible akamanyanuka anditengeko🙈🙈🙈🙈🙈🙈,economy,neutral,medium,yes,
453,ndi pastor oganiza bho🤝,economy,positive,high,yes,
454,Ine ofuna ku jon simwayi opitako ulere uja utha kukhala omwewu 🙄🙄,economy,neutral,high,yes,
455,Thanks  papa for fick about Malawi people's,economy,positive,high,yes,
456,God bless you and Bushiri,economy,positive,high,yes,
457,Patseni upule😄,economy,positive,high,yes,
458,Apa mwaitha big,economy,positive,high,yes,
459,Amakwanila madalawa,economy,positive,high,yes,
460,Awa ndi makolo,economy,positive,high,yes,
461,Akamapita andiyankhule,economy,neutral,medium,yes,
462,Tikhulupilira akafika,economy,neutral,medium,yes,
463,"When it comes to his prophethood, I real don't like him. But when it is about businesses, this is my friend. He's a great man, very great.",economy,positive,high,yes,
464,Wakulu,economy,positive,high,yes,
465,Mulungu wayakobo mulungu wa manjor one ndikuziwa sangatisiye Alleluia hosanna,economy,positive,high,yes,
466,Good job,economy,positive,high,yes,
467,Kamangira akangomva umumva khathero Kaye kuchikamwa mixeew,economy,negative,medium,yes,
468,Uyuuuuu siku lina azayambisa mutukula pakhomo,economy,negative,high,yes,
469,Mose wathu wa lero🙏,economy,positive,high,yes,
470,Papah tikakunyadiran,economy,positive,high,yes,
471,AMEN AND AMEN,economy,negative,medium,yes,
472,You're my number one,economy,positive,high,yes,
473,Ma busiwo anyamuka lit andtengeko,economy,neutral,medium,yes,
474,Good movement,economy,positive,medium,yes,
475,Mbambande Major 1,economy,positive,high,yes,
476,Awaa ndi Fadaaaa🔥🔥🔥🔥,economy,positive,high,yes,
477,Ma bus wo asapite empty abale ine chabwno nkangodziwa kujoweniko nzikabwerera nawo limodzi 🥴,economy,neutral,medium,yes,
478,Mwana wa Chiuta wa moyo .mweneko!!!,economy,positive,high,yes,
479,"Wow, kuposa boma,",economy,positive,medium,yes,
480,Bushizo ndi dolo heavy,economy,positive,high,yes,
481,"Biggy , namanyonyolo , mkulukuta moyo km uyu",economy,positive,high,yes,
482,Achina Bushiri yawo ija,economy,positive,high,yes,
483,Ine ndimadziwatu kuti bwanawa apongapo chinachake,economy,positive,medium,yes,
484,Abweletse  anthu akuzuzika kuno,economy,positive,medium,yes,
485,Alfred Gangata  inunso mutatumiza atatu okha bwana mutha kuchepetsako chiwerengero cha amalawi omwe akuvutika .Thanks in advance 🙏🙏,economy,neutral,medium,yes,
486,Za chani ?,economy,neutral,medium,yes,
487,Thank you papa,economy,positive,high,yes,
488,We love you prophet,economy,positive,high,yes,
489,Good guy,economy,positive,high,yes,
490,"10 buses =700 people, kupulumutsa anthu 700 sizibwana. Ulemu wake.

Anthu ku Durban okha akufunika over 100 buses chifukwa bus imanyamula maximum 70 people 
So 100X70=7 000 people. 
Akapezeka achina Bushiri 20 abale aku Durban apulumutsidwa",economy,positive,high,yes,
491,Ena aja akupita kumene aja bola asadumphire umu. Well done prophet. Inu mumapanga za ovutika Ambuye akudalitsenibe,economy,positive,high,yes,
492,"Major 1 ,son of malawi ,akatundu  machine,mumakwana",economy,positive,high,yes,
493,Chi de papa ichichi chinabwela ngati coming 🙌,economy,positive,high,yes,
494,Iwe nde muthu osati akhakhakha enawa..,economy,positive,high,yes,
495,Boma koma ili,economy,positive,medium,yes,
,Kumwamba kulandire ulemu,economy,positive,high,yes,
,Munthu mkulu,economy,positive,high,yes,
,Km bushiri adha 🔥🔥,economy,positive,high,yes,
,Akatelo wina azakane oho kut asala sakwela,economy,neutral,medium,yes,
,Ma bus wo awamate ma sticker olemba Prophet Shepherd Bushiri aziwenso kuti actor samafa 💪,economy,positive,high,yes,
,This is too love ❣️,economy,positive,high,yes,
,God be with you prophet  Bushiri,economy,positive,high,yes,
,Tili ndi munthu odalisika ku Malawi god blessed you,economy,positive,medium,yes,
,God bless you major one,economy,positive,high,yes,
,Maulemu ka million,economy,positive,high,yes,
,Akamaputa ma buswo anditegeko,economy,neutral,medium,yes,
,Mkulukuta bible big up boss Malawi anakakhala ndi anthu awa okwana 10 bwenzi tonse tili ochita bwino,economy,positive,medium,yes,
,Amen & amen.,economy,positive,high,yes,
,Wachita bwino,economy,positive,high,yes,
,Popitq munditenge,economy,neutral,medium,yes,
,Nsanamila wathu,economy,positive,high,yes,
,Khan yabwino,economy,positive,high,yes,
,Konda mzako momwe uzikondera mwini nde ndizimezi.👍👍👍👍,economy,positive,medium,yes,
,Big wamadolo onse m.malawi,economy,positive,high,yes,
,Zikomo on their behalf 🤲,economy,positive,high,yes,
,Ama business okaooda  mwayitu uwu nanga zipite empty,economy,neutral,medium,yes,
,"Ma mega mkulukuta moyo ang""ono ang'ono",economy,positive,medium,yes,
,Uyuuu ndi boma payekhaa,economy,positive,high,yes,
,Hy monaghan nizipephera bawl tcharitchi yanu,economy,neutral,medium,yes,
,Nkhani yabwino,economy,positive,high,yes,
,Akamanyamuka ma bus'wo atitengeko nafe tikadzionera tokha komweko 🤭,economy,neutral,medium,yes,
,"Apapa theba ija yofunika kumangopiga ndi chamba.,, ma drug mbweee anthu anja safuna za mtendere Ndiye asamangotinamizra ma gondolosi tipitise",economy,negative,medium,yes,
,Naye Atupele Mulizi kuzati apeleka 5mita chosecho azake akupeleka ma bus 🚌 10 🤣🤣🤣,economy,neutral,medium,yes,
,Munthu wabwino,economy,positive,high,yes,
,Ine nkatsikira mu Zimbabwe nde munditenge🤦,economy,positive,high,yes,
,Ndipamene timachula kut dolo azioneka pothandiza dziko lake,economy,positive,high,yes,
,Mfumu yayakhula apa 🫡🫡,economy,neutral,medium,yes,
,So good 👍,economy,positive,high,yes,
,"Ma bus sangapite a empty uku ndi kuononga chuma
Tipakilemo mutu wa mbalame tikaguluse tibweze ya fuel",economy,neutral,medium,no,irrelevant
,,economy,,,,
,,economy,,,,
,,economy,,,,
,,economy,,,,
,,economy,,,,
,,economy,,,,
