id,text,topic_label,sentiment_label,confidence,include,notes
444,Dzombe is a country on his own 🔥🔥🔥🔥🔥,Economy,Positive,Low,No,
445,Apa ndikutha kuopa NAPOLEON akubwera pa one then mpingnjira,Economy,Positive,Medium,No,
446,"Mangani anthu onse akudowa,DPP mukumva kodi",Economy,Negative,Low,No,
447,Machine machine munthu wanzeru zake,Economy,Positive,High,Yes,
448,Azibambo awa 🔥🔥🔥,Economy,Positive,High,Yes,
449,Nde chaka chamawa chafika kale kaya kumwerako😂😂😂,Economy,Neutral,Medium,No,
451,Tufunika anthu ngat awa,Economy,Positive,High,Yes,
452,Awawa ndi amene amafunika azilamulira dzikoli,Economy,Positive,High,Yes,
453,I think uyu ngothandiza,Economy,Positive,High,Yes,
454,Amfumu,Economy,Positive,High,Yes,
455,Iwe umati!,Economy,Neutral,Low,No,
456,Katundu uyu,Economy,Positive,High,Yes,
457,Malawi 2063🔥,Economy,Positive,High,Yes,
458,Ndiye kumalemba 4 kumeneko kwawo Kwa ozotsata,Economy,Neutral,Low,No,
459,Dzombe nd katundu,Economy,Positive,High,Yes,
460,uyuyu n shata 💥💪,Economy,Positive,High,Yes,
461,"Can someone tell simbi phiri to do something also,we have rich people here akhoza kutukula dzikoli within 2 years koma ambiliwa ma investments kunja bas",Economy,Neutral,Low,No,
462,Welcome iwe napolo zombe😂💬,Economy,Positive,High,Yes,
463,He's Real..... Louder speaks action than words,Economy,Positive,High,Yes,
464,Our own Aliko Dangote,Economy,Positive,High,Yes,
465,Thathatha ma % athu tachotsako ngat BOMA kenako tiva 🤣🤣🤣,Economy,Negative,Low,No,
466,"Good development,",Economy,Positive,Medium,Yes,
467,Dowa family,Economy,Neutral,Medium,Yes,
468,Definition of a TRUE citizen longlive sir Napoleon,Economy,Positive,High,Yes,
469,Nde kuli anjawa akutenga madzi kuchoka ku salima kupititsa ku fumbi😅,Economy,Neutral,Low,No,
470,A good citizen,Economy,Positive,High,Yes,
471,basitu capital city ija ndi dowa 😃,Economy,Neutral,Low,No,
472,Dolo kwambir,Economy,Positive,High,Yes,
473,Olemera kuposa dziko lake😂😂😂😂,Economy,Positive,Low,Yes,
474,Vote yanga.....,Economy,Neutral,Low,No,
475,Kumalawi kose kuno wandalama ndi dzombe zake zimaoneka ndimaso enawa mbuzi zaanthu kumaba kuno kupititsa maiko ena mbuli zophuzila,Economy,Negative,Low,No,
476,"Anavaya Napoleon Dzombe
 
 Ana amuna",Economy,Positive,High,Yes,
477,Aja mumadana ndi ku Dowa aja pano ntchito mukfusila ku Dowa komko. Bolako iyi kusiyana ndikumakcheka matabwa ku Luwawa 😆. Mpatseni u professor uyu osati ma enawa ama private trip dola za boma,Economy,Neutral,Low,No,
478,With things like this I can't stop smiling💞💪,Economy,Positive,High,Yes,
479,Malawi is developing,Economy,Positive,High,Yes,
480,Malawi is growing soon many will come in bravo Nepoleon Dzombe inu ndi Dada more life n blessings,Economy,Positive,High,Yes,
481,Munthu uyuyu amaganiza mwakuya....may this dream come to pass,Economy,Positive,High,Yes,
482,Mzelu Za Mutu wabanja,Economy,Neutral,Low,No,
483,Izi ndiye zofunika izi,Economy,Positive,High,Yes,
484,Pamenepa tikhoza kukharano safe than kudalira zandalez,Economy,Negative,Low,Yes,
485,Good kwa good Mr Napoleon,Economy,Positive,High,Yes,
486,Zapamwamba🔥,Economy,Positive,High,Yes,
487,"This is beautiful 
 
 Ambuye awa muzingowadalitsa ndipo apatseni moyo wautali",Economy,Positive,High,Yes,
488,Munthu wankulu 🔥,Economy,Positive,High,Yes,
489,Bwanamkubwa🤝🏾🔥,Economy,Positive,High,Yes,
490,Dolo ka million,Economy,Positive,High,Yes,
491,Khani yabwino,Economy,Positive,High,Yes,
492,Zeru za bamboo,Economy,Neutral,High,Yes,
493,Anthu a Dowa amenewo,Economy,Neutral,Medium,Yes,
494,Asaaaaaaaa nzeru tu izi,Economy,Positive,High,Yes,
496,This is nice,Economy,Positive,High,Yes,
497,Uku kupezeka ntchito osati Masewera,Economy,Positive,High,Yes,
498,Bolani pamenepa,Economy,Positive,High,Yes,
499,Zamphamvu,Economy,Positive,High,Yes,
