,text,topic_label,sentiment_label,confidence,include,notes
947,Alandili ulemu 🙏,economy,positive,high,yes,
948,Uyu timpatse udindo wanji?,economy,positive,medium,yes,
949,Kma zomajambulana tikafikazi eish,economy,neutral,high,yes,
950,Bola asachitise ngozi galu ameneyi,economy,negative,high,yes,
951,Bushiri ya major🙌,economy,positive,high,yes,
952,Bolatu,economy,positive,medium,yes,
953,Indeeee tabwelesani bwana kuno ku pectoria agandiphe,economy,positive,high,yes,
954,Faka iwe.,economy,positive,high,yes,
955,"They don't call him Major 1 for nothing.

Azimayi aja amagawa ndalama nthawi imene ija ali kutiko? 
Aja mumawachemelela Kuti bosy lady boss lady aja alikutiko? Azikazi ama biggie ali kutiko?

Even our President amadikira from this guy.",economy,positive,high,yes,
957,Koma amamutukwana,economy,positive,high,yes,
958,"Prophet Shepherd Bushiri Imani Wu president mupulumutse ntundu wanu kwa nkulukuta economy ndi nzake wadya ntolilo,,very greed politicians...",economy,positive,high,yes,
959,Ife timaziwatu timadikila chawo basi,economy,positive,medium,yes,
960,Bwana,economy,positive,high,yes,
961,Upcoming pule ♥️,economy,positive,high,yes,
962,tizingopephera kut mabusiwo afike bwino kuno ku malawi🙏🙌😍,economy,neutral,high,yes,
963,Bwana Mpinganjira mwadusakao kuno?,economy,neutral,medium,yes,
964,Mikozi tamva iiii,economy,positive,high,yes,
966,Anzanu onse alemba mu chichewa inu cholembela English ndi chani,economy,neutral,high,yes,
967,Paja boma linapempha,economy,neutral,high,yes,
968,"His Majesty Thank You🙏 very much 
Malo mwa amalawi 🇲🇼onse amene Akuduts kumawerenga ma😭 comment nkusekerera 🙏",economy,positive,high,yes,
969,pangoline,economy,positive,high,yes,
970,Dolo kwambili,economy,positive,high,yes,Chitumbuka 
971,My Major ndinaziwa kuti mupanga China chake koma a Malawi sitiyamika Ulemu wanu aDad,economy,positive,high,yes,
972,Amukuru ndi hello Paisa nanga ukatani kd,economy,neutral,high,yes,
974,Massive big,economy,positive,high,yes,
975,Why only Bushiri enawo kuzimva ndi Dora zawo? My God bless this man 🙏,economy,positive,high,yes,
976,Akhafuna ife ngweneyi🔥🔥 mpaseni u president,economy,positive,high,yes,
977,Pomwe ena angolubwa mmalo mongothandizapo,economy,positive,high,yes,
978,Ndiye wina awapezele ma bus zifukwa mbweee,economy,positive,high,yes,
979,Uyu nde munthuuu.... Presidential material,economy,positive,high,yes,
980,GOD IS GOOD,economy,positive,high,yes,
981,PALIBE BUS IKUPTA EMPTY AKANGOTISYA OBWERA AZIKABWERA  PASSPORT MPAKA IPANGE EXPIRE,economy,neutral,high,yes,
982,Ndikanasala paja ma bus aulele siomwewa 🤔🤔😱😱,economy,positive,high,yes,
983,Awa Kodi🔥🔥🔥,economy,positive,high,yes,
984,Apa amene sabwelayo nde ndikufuna kwake,economy,positive,high,yes,
985,Mpinganjir alichete no kuthandiza mzao akutenga gawo,economy,positive,high,yes,
986,Munditenge mondiponye Mozambique kwinaku muzipitilila,economy,positive,high,yes,
987,Ulemu wanu boss,economy,positive,high,yes,
988,Uyu  simunthu  wamba,economy,positive,high,yes,
989,Man of God,economy,positive,high,yes,
990,Nice one,economy,positive,high,yes,
991,That's great news,economy,positive,high,yes,
992,💪 bwerani tizalime nthonje kuno..,economy,positive,high,yes,
993,Please take me to South Africa ko  ndikusowa transport yopitira kumeneko ine,economy,neutral,medium,yes,
994,akafike kaye ma bus wo bwa,economy,negative,high,yes,
995,Liabunya mwana wa mphele 🤣,economy,neutral,high,yes,
996,"Bwenzi losaona nyengo....
Major one!!!!!!
Let love lead,in Jesus Christ name!!",economy,positive,high,yes,
997,"ine ndati nditsindike apa Dr mpio
nga ndi owumila amangolowesa dipo lawo pa zomwe ziwapat
se not kingopeleka",economy,neutral,high,yes,
998,"Tipemphanso Ena achifundo athandize. Ma bus 10 ndi anthu 700 amenewo. Pomwe chiwerengero cha anthu ofuna kubwerera akuposa 1 million.
Thanks Mr Bushiri",economy,positive,medium,yes,
,,,positive,,,
