id,text,topic-label,sentiment-label,confidence,include,notes
395,Nanga yapepalayiningatithele mmanjatu titani nayo kodi,Economy,Neutral,High,Yes,
396,"Koma izi zomapanga ndalama ya makona  sizabwino ayi😹😹😹😹😹

Osangonena chilungamo kuti khobidi lathu lagwa bwanji",Economy,Negative,Medium,Yes,
397,Ndepoti ma 20 kwacha apepara akuwakana nde izi adzivomera anthu,Economy,Neutral,High,Yes,
398,"Zaziiii ,ine ndimawona ngat mkut mwachosa K5000  pin",Economy,Negative,High,Yes,
399,Kutha kwa ndalamatu uku,Economy,Negative,High,Yes,
400,Ndalama yongofikila kukhala zude,Economy,Negative,High,Yes,
401,Aaaaaa ngati 50 ndi 20 zapepala lkakutayika sumadandaula nde coin makabudura azivukaso chifukwa choremela lkagwere manyembe,Economy,Negative,Medium,Yes,
402,Kutha Kwa ndalama yakwacha tsopano kkkkkk ndalama yomvetsa chisoni,Economy,Negative,High,Yes,
403,Muli ndi nthaw nanu,Economy,Neutral,Medium,Yes,
404,Why it looks like some smiling faces,Economy,Neutral,Medium,Yes,
405,Palibe chanzeru chomwe akumanga a RBM Boma liyendereko kumeneko,Economy,Negative,High,Yes,
407,Kumbuyo ndiku maso alakwitsa.. Chizindikilo cha Boma chimafunika kukhala kumutu,Economy,Negative,Medium,Yes,
409,Ndipanga yanga naneso ngt aziwa,Economy,Neutral,Medium,Yes,
410,Akuganiza ngat awapasatso award koma ayi ndithu kulibe ulendo uno 😄😄,Economy,Negative,High,Yes,
411,Ayi zikomo,Economy,Neutral,Medium,Yes,
412,Kutha kwasha pomwe mayiko azanu ndalama yayikulu ya coin ndi 5,Economy,Positive,Medium,Yes,
413,Ukwat uja 😔😔,Economy,Neutral,Medium,Yes,
414,Ndlama zonse zingokhala za chisulo basii....olo 5pin sikumachedwa kuthaso,Economy,Positive,Medium,Yes,
415,mukamapanga zanuzo ine musandiwelengele😅💔,Economy,Neutral,Medium,Yes,
416,Malawi ukulowela kuti,Economy,Neutral,Medium,Yes,
<<<<<<< HEAD
417,Kutibwezelesa. Ku 1992,Economy,Neutral,Medium,Yes,
=======
417,Kutibwezelesa. Ku 1992,Economy,Neutral,Medium,Yes,
>>>>>>> 1ddda33 (Uploaded the rest of the labelled data)
