id,text,topic-label,sentiment-label,confidence,include,notes
103,Tingodikira k10000 ya pepala,Economy,Negative,High,Yes,
105,Nde Kt azisogolire akumalaw sumungakhale mtima ositha ndlama Kt zikhale Za mphamvu ngt mene alili maiko ngt Zambia south Africa Mozambique nd maiko ena ndlama zao matambala amagwirabe ntchito ma coin Malile R5  ndlama ya pepala Malile R200 nde Kt palibe amafuna Malawi kusitha ndlama Kt zikhale Za mphamvu Koma komachepesa mphavu,Economy,Negative,High,Yes,
106,Zachani zimenezi kungowononga forex basi zaziiiii,Economy,Negative,High,Yes,
107,Bola mukanapanga ikhale ya plastic or yathabwa Kuti ikaktha tizikolezera Moto 😉,Economy,Negative,High,Yes,
108,Ndiye mzikwati anthu azisupila chan 😎,Economy,Negative,High,Yes,
109,Bola mkangosya kupanga ndarama zo because ife nde sitingamanyamule ndarama zachitsulozo,Economy,Negative,High,Yes,
110,Wanunkha malawi,Economy,Negative,High,Yes,
111,Ife kuno Ku Ndilande tipanga ya aluminium 💔,Economy,Negative,High,Yes,
112,K20 ndiye ngat sindalamatu,Economy,Negative,High,Yes,
113,Fodya eti🥴,Economy,Negative,High,Yes,
114,Zilibe value ngakhale azitulusa,Economy,Negative,High,Yes,
115,Kugwa kwa kwacha uku mhmhmh koma za dziko lino la malawi lino mhmhmh timusiyle mulungu ndthu  ai fenkis,Economy,Negative,High,Yes,
116,Azilandila koma anthu izi 😂🙄,Economy,Negative,High,Yes,
117,Mayo malawi uja kuthaphavu kwachuma chaziko la malawi,Economy,Negative,High,Yes,
118,Ine pa shop panga ayi,Economy,Negative,High,Yes,
119,😂😂😂Malawi,Economy,Negative,High,Yes,
120,"Times 360 Malawi Chanzeru akananena akanangoti Malawian Kwacha yatha, tidzigwilitsa ya Zambia🤷😅",Economy,Negative,High,Yes,
121,Kutha kwa Shasha.  My Malawi is humbled ndi andale. 🥲🥲,Economy,Negative,High,Yes,
122,Ndalama zimaonongonga ndalama zambiri pokonzetsera ndalamazi.....Do you get me right 📸,Economy,Neutral,Medium,Yes,
123,Zazi bas,Economy,Negative,High,Yes,
125,Zaziiiiiiii zachan zimenezo,Economy,Negative,High,Yes,
126,"Zizigwila ntchito yanji
Vomelezani ndalamazi zinatha mphavu",Economy,Negative,High,Yes,
127,"Kodi ndalama zimenezi tizigulira chani ndi mmene zinthu zililimu?
Komanso dziko lino aahh😂😂😂",Economy,Negative,High,Yes,
128,Ndalama yake yopotokayo shop Zina azikanatu oho,Economy,Negative,High,Yes,
129,Onse ogwira ntchito ku bank anangouenera kutula pansi ntchito chifukwa akuchitisa manyazi dziko,Economy,Negative,High,Yes,
130,Kodi anthu ngati amakana k20 ya pepala nde k50 yachitsulo adzilandira?,Economy,Negative,High,Yes,
131,Aaaa ngat amasowa zoseweletsa wina aliyese kumeneko aziseweletsa za pakati pa miyendo yake amatinyasa zoseweletsa ndrama bwanji 🙄,Economy,Negative,High,Yes,
132,Kma sweet yomwe inali pa 20 kwacha pano ili pa handede kwachatu,Economy,Negative,High,Yes,
133,Musowa zocita etini,Economy,Negative,High,Yes,
134,Couldn’t care less,Economy,Neutral,Medium,No,
135,Pokha pa 20kwachapo aaa kungonongapo ndalama zopangitsira inakakhala 50 ndi 100 mkanakondwera zedi.,Economy,Negative,High,Yes,
136,"Moti mu Min Bus tizipeleka ma k20 ndi ma Coin omwe, amayooo",Economy,Negative,High,Yes,
137,Even mwana kumpatsa yachitsulo atha kukana 😂,Economy,Negative,High,Yes,
138,Zisiyeni ku reserve bank komweko k20  tinasiya kugwiritsa ntchito kalekale😅,Economy,Negative,High,Yes,
139,Devaluation of the Kwacha,Economy,Negative,High,Yes,
140,Pakufunika ma trouser mukasoketse zizigwa izi 😂😂😂😂,Economy,Negative,High,Yes,
141,Tizipita nazo pa filling station???,Economy,Negative,High,Yes,
142,Ndalama zachitsulo za chani this time pomwe kwacha yatheratu mphamvu,Economy,Negative,High,Yes,
143,Nde bwino ku ukwati sitikasupaso 50Kwacha,Economy,Negative,High,Yes,
144,bolaso ibwerere ku dollar kumkunja,Economy,Negative,High,Yes,
145,Tangogwesani kwacha abale aaaah,Economy,Negative,High,Yes,
146,Ife timaona ngati mafuta tu,Economy,Negative,High,Yes,
147,Nde Bola akana chosa chi 5pn Chijaa 😒,Economy,Negative,High,Yes,
148,Ine kungoona headline ndati hiiiii yagwanso kkkkkkk kenako ndawelengansotu kkk,Economy,Negative,High,Yes,
149,Koma kulikuluko pena muziwunika bwino pochita zithu kodi pano chomwe mukugula 20 kwacha ndichani?,Economy,Negative,High,Yes,
150,Kachinsinsi ka devaluation aka kosafuna anthu adziwe nthawi yosei takhala nazo mwadziwa liti kuti zimatenga ndalama zambiri kuti zikozedwa,Economy,Negative,High,Yes,
151,Bas Malawi watha uyu,Economy,Negative,High,Yes,
152,Inu k20 idasya kale kale kugwila ntchito aaa,Economy,Negative,High,Yes,
153,Zimathandiza chani?,Economy,Negative,High,Yes,
154,Mizikwatimu anthu aziyambira pa 100 kwacha kufupa.🤭🤭🤭🤣,Economy,Negative,Medium,Yes,
156,The fall of mkulukutamoyo kingdom,Economy,Negative,High,Yes,
157,I think making these coins is a waste of resources.,Economy,Negative,High,Yes,
158,K50 coin? Ndye zichani? Malawi watha yooo🙆,Economy,Negative,High,Yes,
159,Waooo K50 for coin what's that but why Malawi?,Economy,Negative,Medium,Yes,
160,azziziwa musanawauze??,Economy,Negative,Low,Yes,
161,Do we even need the coins ah,Economy,Negative,High,Yes,
162,"M'malo mochotsa 5k, 2k and 1k kuti tikhale ndi 5hunds ndipomwe akupangabe manyaka ena, busy kutulusa zizude m'malo mosaka forex",Economy,Negative,High,Yes,
163,"Osavutika ndi zizindikiro, palibe angapange forge",Economy,Neutral,Medium,Yes,
164,"koma ma ukwatimu tivulala eeeh
fukwa nde kuzikhala kugendatu",Economy,Negative,High,Yes,
165,Kuno sizikugwila ntchito mwina kwanuko,Economy,Negative,High,Yes,
166,KumAlawi nako,Economy,Negative,Medium,Yes,
<<<<<<< HEAD
167,Zabwino,Economy,Positive,High,Yes,
=======
167,Zabwino,Economy,Positive,High,Yes,
>>>>>>> 1ddda33 (Uploaded the rest of the labelled data)
