id,text,topic_label,sentiment_label,confidence,include,notes
117,"As a country we failed this,, Boom Dzombe has done it!!",Economy,Positive,High,Yes,
118,Angotenga upule bas wawina no kampeni,Politics,Positive,High,Yes,
119,Dowa ija osazaitola,Politics,Neutral,High,Yes,
120,Grow big or go home,Economy,Neutral,Medium,Yes,
121,Goat uyu 🔥🤝,Economy,Positive,High,Yes,
122,Degree njachabe chabe kumalawi😅,Education,Negative,High,Yes,
123,Politicians think it's AI😂😂,Politics,Negative,Medium,Yes,
125,That's reall development 💐💐,Economy,Positive,High,Yes,
126,Dolo kochuluka,Economy,Positive,High,Yes,
127,"This move eill triple his weathy, long live dzombs",Economy,Positive,High,Yes,
128,Pangolin 👌💪👏👏,Economy,Positive,High,Yes,
129,News we like to hear,Economy,Positive,High,Yes,
130,Bola zitheke basi,Economy,Neutral,High,Yes,
131,Dowa to the world 🔥🔥🔥,Politics,Neutral,High,Yes,
132,The news we lov to hear,Economy,Neutral,High,Yes,
133,Now that's what I call wealth,Economy,Positive,High,Yes,
134,"Long live Elder, our Dangote.! ma Bra Bus angat awa 😂😂😂😂",Economy,Positive,High,Yes,
135,Mzibambo 🙌,Economy,Neutral,High,Yes,
136,All the way from republic of DOWA aaaaa this man is genius ooh👏 🙌,Politics,Positive,High,Yes,
137,This is the son of Malawian soil.,Economy,Positive,High,Yes,
138,"I'm proud of being Chewa. Sindale, I am just telling you, period",Politics,Negative,High,Yes,
139,Dowa sigawa kamba ❤️,Politics,Neutral,High,Yes,
140,Kulima kwamohweka,Economy,Positive,High,Yes,
141,DPP cadets think it's Al,Politics,Negative,High,Yes,
142,The great great Man,Economy,Positive,High,Yes,
143,Dowa ijayo osazayipweketsa guys😍,Politics,Neutral,High,Yes,
144,Shasha uyuu,Economy,Positive,High,Yes,
145,I'd buy shares in this project 💯,Economy,Positive,High,Yes,
146,Dolo ... Born intelligent.,Economy,Positive,High,Yes,
147,We're rich already,Economy,Positive,High,Yes,
148,Zikuchitikadi izizi 🤓,Economy,Neutral,Medium,Yes,
149,Warm Heart of Africa is blessed 🎉,Economy,Positive,High,Yes,
150,People like him....,Economy,Positive,High,Yes,
151,Live longer dada Dzonbe,Economy,Positive,High,Yes,
152,Mbambande🔥,Economy,Positive,High,Yes,
153,Malawi got talent indeed imagine set up fire using condoms 🤗🤗,Politics,Neutral,Medium,No,Off concept
154,Tili safe,Economy,Neutral,High,Yes,
156,Market gap ija amwene,Economy,Positive,High,Yes,
157,My model nadzombe,Economy,Positive,High,Yes,
158,Amuna chisale pamakina,Economy,Neutral,High,Yes,
159,Work up malawiiiiii,Economy,Neutral,High,Yes,
160,Big Brands and brains,Economy,Positive,High,Yes,
161,Mbambande 🔥,Economy,Positive,High,Yes,
162,His Excellency 🫡🔥,Economy,Positive,High,Yes,
163,A true definition of big machines🔥🔥🔥🔥,Economy,Positive,High,Yes,
164,We will defeat hunger forever 💪,Economy,Positive,High,Yes,
165,"Napoleon the legend, men working ahead",Economy,Positive,High,Yes,
166,If not Napoleon Dzombe then he would be Bushiri whom I really want to meet & have a talk,Economy,Positive,High,Yes,
167,"No degree or diploma from school ,while others are still bizy studying to have papers to bring in their mind vision to bring development in country ,while napoleon village man wise, than educated people with their papers , Mr napoleon he has remind me story of Solomon son of David always he stand for wisdom not degree and diploma ,",Education,Negative,High,Yes,
