id,text,topic-label,sentiment-label,confidence,include,notes
217,"Ukamaziwelenga usiku umangonva neighbors "" kod ndinu nokha mulindi ma spoon nyumba mwanu !!!🤣🤣🤣",Economy,Neutral,Medium,No,
218,Mot ikhale improvement ya dziko iyi kkkkk Dziko lathu lochititsa manyaz mot simngaphunzire kumaiko omwe amachita bwino pa chuma bc dziko kungozolowera kupempha bc osapedza njira zoyenereza kut dziko liziimire palokha eish manyaz akugwiren ku bomako,Economy,Positive,High,No,
219,Malawi ada ndi 1,Economy,Positive,High,No,
220,Aaah zimasokosa zimenezo tiye zazoni ukoo,Economy,Negative,Low,No,
221,Hamayo ndalama ija yatha mphamvuu bc ana anga sadzaipeza🙆‍♂️🙆‍♂️🙆‍♂️!!!!!!!!!!!!!!!!!!!!!!!!!!!,Economy,Positive,High,Yes,
222,Munakaika mbali inayo nkhope ya mkulukutamoyo poti mu nthawi yake ndalama yakulukutika,Economy,Positive,High,No,
223,K20 ya paper sikugwilq ntchito ndy ya coin izihwila ntchito? Mukanakhazikisanso mphamvu kut k20 ya pqper izigwilisidwa ntchito anthu asamakane,Economy,Positive,High,Yes,
224,Nde izikwanitsa kugula chani,Economy,Positive,Medium,,
225,Kod ma 20kwacha anayambilanso kugwila ntchito??? Manga 5pin ichoka liti,Economy,Positive,Medium,No,
226,New look from Metal,Economy,Positive,High,Yes,
227,20kwacha mukanangoicotsa inu,Economy,Positive,High,Yes,
228,Ndie tiziikaso mu wallet zimezi 😎😎,Economy,Neutral,High,No,
229,Ndimawona ngati atiwuza za Forex,Economy,Neutral,High,No,
230,Akuti anthu ophuzila apanga chiganizo pamenepo 😂😂😂🤣,Economy,Positive,Medium,No,
231,Zikhonza kutheka pa ATM???,Economy,Positive,High,No,
232,Ikadangochotsedwa bas,Economy,Positive,High,Yes,
233,Kodi 5kwacha yachitsulo ija basi inathaa 🥱😭🤣,Economy,Positive,High,No,
234,"Boma likanatulitsa 10,000 kwacha in tme kuti anthu ayizolowere kenako kuzachotsa zerp mmodzi kutsogolo kukuberaku nde kuti ndala yathu yayikuru oza 1000 kwacha pamenepo nde kuti mphamvu ya ndalama yathu yizayamba kuoneka. Maganizo anga.",Economy,Positive,High,Yes,
235,Aaah l think tigulise dziko lathuli  zativuta chan ichi😂😂,Economy,Neutral,High,No,
236,"Osamazembera ingonenan kt yatha mphamvu kwacha,ngat ndalam zakutha zaculuka osapanga k5000 ya coin bwanj",Economy,Positive,High,Yes,
237,50 kwcha yili shape ya 5 bobo,Economy,Positive,High,No,
238,Aaaa izi nde zobowa 😆,Economy,Neutral,High,Yes,
239,Kodi kutukwana direct ku boma timadina pati mxiew,Economy,Negative,Low,No,
240,Tiyambeso kusokoseledwa,Economy,Neutral,Medium,No,
241,Koma value yake ikwera kapena ayi,Economy,Positive,High,Yes,
242,Kodi k20 ikugwirabe ntchito?,Economy,Positive,High,Yes,
243,Kenaka asing'anga ayambepo tsopano kuti akufuna ma K50 ndi ma K20 a paper 😭😭😭,Economy,Negative,Low,No,out of point
244,Mpaka bonya?,Economy,Negative,Low,No,irrelevant
245,Tagwa nayo basi,Economy,Positive,High,Yes,
246,Komano zachani 😂😭💔,Economy,Neutral,High,Yes,
247,kutha kwa shasha,Economy,Neutral,Medium,No,
248,Kodi ndalamazo zimagulachani ku Shorp? Sikulina tinzamvako kuti K5000 ija pano ndi K500,Economy,Neutral,High,No,
